Interval,Description,Agent,Int Agt ID,Adv,In Ans,In,Out Ans,Out,Tot Tlk (Seconds Value),Avg Tlk (Seconds Value),End On-Hold,Esc,Esc To,In Abnd,Max Concr,Out Fail,OvrFd In,OvrFd Off,All Ans,All,UnMon,Trans In,Trans Out,Unrtrnd,Ans <= 15s,Abnd <= 60s,Max Call (Seconds Value),Max Held (Seconds Value),Max Talk (Seconds Value),Tot Call (Seconds Value),Tot Held (Seconds Value),Tot Rng (Seconds Value),Alerting (Seconds Value),Available (Seconds Value),Busy (Seconds Value),Handling (Seconds Value),N/A (Seconds Value)
01/01/2026 (03:00:00 - 03:59:59),Liam Turner,440710619180.0,,0,0.0,0.0,0.0,0.0,0.0,281.30492181116506,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1101.9491863405235,99.14159026059042,998.5282081680333,0.0,0.0,0.0,0.0,3343.3675690002406,0.0,0.0,256.63243099975955
01/01/2026 (03:00:00 - 03:59:59),Nina Ward,440795892684.0,,0,1.0,1.0,0.0,0.0,240.84991175344086,240.84991175344086,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,609.3603961205207,91.70695065209173,512.7781834660037,267.0374949828432,21.31232122697704,4.875262002425285,3.7030653490598664,3085.021173446491,270.74056033190305,267.0374949828432,244.23826622160595
01/01/2026 (03:00:00 - 03:59:59),Ruby Bennett,440776845445.0,,0,0.0,0.0,0.0,0.0,0.0,336.09674430117633,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1024.683163859681,133.93744526096123,882.6303033797329,0.0,0.0,0.0,0.0,3368.893673697202,0.0,0.0,231.10632630279792
01/01/2026 (03:00:00 - 03:59:59),Theo Bennett,440797064732.0,,0,1.0,1.0,0.0,0.0,174.91291548393215,174.91291548393215,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,0.0,0.0,666.7303059888286,36.006009807960794,625.3306332958842,198.01533141154795,17.708753042632228,5.393662884983568,3.0403250577518195,3288.8258402547067,201.05565646929978,198.01533141154795,110.1185032759935
01/01/2026 (03:00:00 - 03:59:59),Nina Reed,440712872381.0,,0,5.0,5.0,0.0,0.0,1671.0411603785226,334.20823207570453,0,0,0,0.0,0,0.0,0,0,5.0,5.0,0,0,0,0,1.0,0.0,1188.932580536328,135.36997762365954,1048.566918710588,1886.5199328655385,190.50035147661217,24.978421010403498,23.545742844607798,1470.1554683608508,1910.0656757101463,1886.5199328655385,219.7788559290029
01/01/2026 (03:00:00 - 03:59:59),Ella Scott,440738213751.0,,0,3.0,3.0,0.0,0.0,1175.5570553034086,391.8523517678029,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,3.0,0.0,1166.6630023002713,90.09380184819943,1071.0180917243265,1255.0224941565243,62.81211266987981,16.653326183235862,13.635124303951649,2155.2199199144497,1268.657618460476,1255.0224941565243,176.12246162507404
01/01/2026 (03:00:00 - 03:59:59),Freya Wright,440705932682.0,,0,0.0,0.0,0.0,0.0,0.0,205.57143338388516,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,633.4170320422335,43.9358248385791,581.6816158193054,0.0,0.0,0.0,0.0,3419.1437929344506,0.0,0.0,180.85620706554928
01/01/2026 (04:00:00 - 04:59:59),Liam Turner,440710619180.0,,0,3.0,3.0,0.0,0.0,824.0371104088886,274.67903680296286,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,1.0,0.0,1108.3337476662953,49.191028574793755,1054.2240739107212,879.353978237021,40.560932285791814,14.755935542340772,9.537986573358634,2635.698112598851,888.8919648103796,879.353978237021,75.40992259076955
01/01/2026 (04:00:00 - 04:59:59),Nina Ward,440795892684.0,,0,1.0,1.0,0.0,0.0,200.5991993315482,200.5991993315482,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,814.3957910506111,36.779373449584085,771.1340922751019,224.7972009792913,17.715676321818012,6.482325325925085,3.0782934962605855,3235.003889954335,227.87549447555187,224.7972009792913,137.12061557011282
01/01/2026 (04:00:00 - 04:59:59),Ruby Bennett,440776845445.0,,0,1.0,1.0,0.0,0.0,140.75690012611037,140.75690012611037,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,440.6494586938368,41.291182938244894,395.8536884648801,156.4950435176918,12.23355610086969,3.5045872907117595,4.962930976566093,3239.9465600775043,161.4579744942579,156.4950435176918,198.5954654282379
01/01/2026 (04:00:00 - 04:59:59),Theo Bennett,440797064732.0,,0,1.0,1.0,0.0,0.0,272.4940872506756,272.4940872506756,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,671.3461247248298,87.58446160856424,567.0961100044893,315.7791307257396,26.619490363287728,16.665553111776237,3.356762769284966,3189.6508978521124,319.13589349502456,315.7791307257396,91.21320865286302
01/01/2026 (04:00:00 - 04:59:59),Nina Reed,440712872381.0,,0,2.0,2.0,0.0,0.0,451.99852322813814,225.99926161406907,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,0.0,0.0,548.2292211783802,74.90782514978501,468.3345540989493,498.21973035757026,36.24752327014054,9.973683859291583,8.7371583302259,2817.734867840295,506.95688868779615,498.21973035757026,275.3082434719091
01/01/2026 (04:00:00 - 04:59:59),Ella Scott,440738213751.0,,0,3.0,3.0,0.0,0.0,552.4173928611109,184.13913095370364,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,1.0,0.0,503.5635125682303,30.146919443567352,467.1717889526651,596.0497568554908,24.897951478386283,18.734412515993554,15.73912535409464,2880.1737472345926,611.7888822095855,596.0497568554908,108.03737055582197
01/01/2026 (04:00:00 - 04:59:59),Freya Wright,440705932682.0,,0,2.0,2.0,0.0,0.0,348.59389350452096,174.29694675226048,0,0,0,0.0,0,0.0,0,0,2.0,2.0,0,0,0,0,1.0,0.0,495.35272040804324,116.60832554807781,371.08922509725625,416.60122284784364,52.696989817904374,15.310339525418351,10.708489001121075,3001.815540269252,427.3097118489647,416.60122284784364,170.87474788178366
01/01/2026 (05:00:00 - 05:59:59),Liam Turner,440710619180.0,,0,1.0,1.0,0.0,0.0,258.3623713624158,258.3623713624158,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,637.6400222678978,49.21103188411524,582.602597665479,278.2380969872474,14.049332906527898,5.826392718303661,4.5976815707721075,3075.692791335588,282.8357785580195,278.2380969872474,241.4714301063925
01/01/2026 (05:00:00 - 05:59:59),Nina Ward,440795892684.0,,0,0.0,0.0,0.0,0.0,0.0,240.25316368580357,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,803.9507286474388,237.7714360724196,559.8423972328993,0.0,0.0,0.0,0.0,3437.3465504003266,0.0,0.0,162.65344959967337
01/01/2026 (05:00:00 - 05:59:59),Ruby Bennett,440776845445.0,,0,3.0,4.0,0.0,0.0,379.3994209603663,126.46647365345542,0,0,0,1.0,0,0.0,0,0,3.0,4.0,0,0,0,0,1.0,1.0,423.29120219630494,67.18730688211645,351.1557010315721,444.1873572369848,49.94335342876927,14.84458284784921,9.902937823345987,2924.8256526310715,454.0902950603308,444.1873572369848,221.0840523085978
01/01/2026 (05:00:00 - 05:59:59),Theo Bennett,440797064732.0,,0,0.0,0.0,0.0,0.0,0.0,219.07014871759245,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,922.3966664457508,66.48005405799836,850.6507259940984,0.0,0.0,0.0,0.0,3392.0995152743953,0.0,0.0,207.90048472560449
01/01/2026 (05:00:00 - 05:59:59),Nina Reed,440712872381.0,,0,3.0,3.0,0.0,0.0,411.9361479114233,137.31204930380775,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,3.0,0.0,542.8895532947747,23.274636439565192,514.2612875799181,460.57367293555717,32.57663719825958,16.06088782587432,16.674702682263327,3050.623982966177,477.2483756178205,460.57367293555717,72.12764141600225
01/01/2026 (05:00:00 - 05:59:59),Ella Scott,440738213751.0,,0,0.0,0.0,0.0,0.0,0.0,346.1826606856829,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1253.454475795967,33.20265926698807,1214.9754483776221,0.0,0.0,0.0,0.0,3391.2871872150713,0.0,0.0,208.71281278492876
01/01/2026 (05:00:00 - 05:59:59),Freya Wright,440705932682.0,,0,4.0,4.0,0.0,0.0,602.9598706734249,150.73996766835623,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,1.0,0.0,425.3889057230402,72.20861394425215,349.282331767859,711.328226830719,92.77651611357797,15.591840043716184,23.650914444739108,2667.6372997529443,734.9791412754581,711.328226830719,197.38355897159775
01/01/2026 (06:00:00 - 06:59:59),Liam Turner,440710619180.0,,0,1.0,1.0,0.0,0.0,214.78622126238642,214.78622126238642,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,661.6354116234143,117.78330176121895,538.8102252589706,266.0938627908275,46.26575692521636,5.041884603224674,4.095081704051119,3268.672433148335,270.18894449487857,266.0938627908275,61.13862235678666
01/01/2026 (06:00:00 - 06:59:59),Nina Ward,440795892684.0,,0,0.0,0.0,0.0,0.0,0.0,323.7305312675571,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1139.9181668612055,82.66232564727322,1052.842952610176,0.0,0.0,0.0,0.0,3507.5027482683963,0.0,0.0,92.49725173160358
01/01/2026 (06:00:00 - 06:59:59),Ruby Bennett,440776845445.0,,0,0.0,0.0,0.0,1.0,0.0,152.99302359162112,0,0,0,0.0,0,1.0,0,0,0.0,1.0,0,0,0,0,0.0,0.0,493.70092601486124,121.49504542244314,369.1679842666443,0.0,0.0,0.0,0.0,3378.8763380267574,0.0,0.0,221.12366197324246
01/01/2026 (06:00:00 - 06:59:59),Theo Bennett,440797064732.0,,0,1.0,2.0,0.0,0.0,251.76506150634359,251.76506150634359,0,0,0,1.0,0,0.0,0,0,1.0,2.0,0,0,0,0,1.0,1.0,654.4587448465475,104.28124001078324,542.5790579425359,284.82382347263086,25.460315073058872,7.598446893228394,4.9870547469193784,3082.2865797927125,289.81087821955026,284.82382347263086,227.90254198773715
01/01/2026 (06:00:00 - 06:59:59),Nina Reed,440712872381.0,,0,2.0,4.0,0.0,0.0,639.9048268759204,319.9524134379602,0,0,0,2.0,0,0.0,0,0,2.0,4.0,0,0,0,0,1.0,1.0,1358.6297162176952,84.87745711540546,1270.1805864772664,713.1861243294742,66.13795220350664,7.143345250047058,7.523828125904037,2754.3894210762796,720.7099524553782,713.1861243294742,124.90062646834215
01/01/2026 (06:00:00 - 06:59:59),Ella Scott,440738213751.0,,0,3.0,4.0,0.0,0.0,766.6145668127762,255.53818893759205,0,0,0,1.0,0,0.0,0,0,3.0,4.0,0,0,0,0,3.0,0.0,670.5128467255145,100.77360470596447,561.8907588002155,903.2184236015908,113.05840713081105,23.545449658003484,16.864956695315428,2469.0294918502727,920.0833802969062,903.2184236015908,210.88712785282067
01/01/2026 (06:00:00 - 06:59:59),Freya Wright,440705932682.0,,0,9.0,9.0,1.0,1.0,2271.8751348283104,252.43057053647894,0,0,0,0.0,0,0.0,0,0,10.0,10.0,0,0,0,0,1.0,0.0,605.9887221821356,50.231941485092115,550.4852388013651,2525.438610664703,206.11959877528773,52.71541895678374,39.3182198426263,800.3022613138821,2564.756830507329,2525.438610664703,234.94090817878876
01/01/2026 (07:00:00 - 07:59:59),Liam Turner,440710619180.0,,0,3.0,3.0,2.0,2.0,831.8295549025604,277.27651830085347,0,0,0,0.0,0,0.0,0,0,5.0,5.0,0,0,0,0,2.0,0.0,1068.0742054832808,44.635083772340025,1017.962802840075,882.7047543969596,34.44624288180181,27.38159435432884,14.383359935598497,2481.7303789807597,897.0881143325581,882.7047543969596,221.18150668668204
01/01/2026 (07:00:00 - 07:59:59),Nina Ward,440795892684.0,,0,3.0,3.0,1.0,1.0,652.8384146342894,217.61280487809645,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,3.0,0.0,804.8198562179624,75.38299454707771,726.362709688213,729.4691663833983,67.408295801094,12.296607930686545,17.488991078992512,2686.858055900297,746.9581574623908,729.4691663833983,166.183786637312
01/01/2026 (07:00:00 - 07:59:59),Ruby Bennett,440776845445.0,,0,0.0,0.0,0.0,0.0,0.0,117.71467747190226,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,442.7565867712621,172.68580477245297,264.36516807440694,0.0,0.0,0.0,0.0,3337.33467581231,0.0,0.0,262.6653241876902
01/01/2026 (07:00:00 - 07:59:59),Theo Bennett,440797064732.0,,0,3.0,3.0,0.0,0.0,309.78440927076605,103.26146975692201,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,2.0,0.0,517.7404053681194,131.37440715956285,382.315192477101,417.79804962797573,95.86122316284326,12.152417194366478,12.784085602515683,2898.3560220177037,430.5821352304914,417.79804962797573,271.0618427518046
01/01/2026 (07:00:00 - 07:59:59),Nina Reed,440712872381.0,,0,8.0,10.0,0.0,0.0,2065.833788328977,258.2292235411221,0,0,0,2.0,0,0.0,0,0,8.0,10.0,0,0,0,0,2.0,2.0,1101.5333870723723,105.84937725649381,989.7072564723528,2302.8724812018427,189.22466612466098,47.814026748205116,25.533768493882395,1199.6451389365268,2328.406249695725,2302.8724812018427,71.94861136774836
01/01/2026 (07:00:00 - 07:59:59),Ella Scott,440738213751.0,,0,5.0,5.0,0.0,0.0,2098.697564136331,419.7395128272662,0,0,0,0.0,0,0.0,0,0,5.0,5.0,0,0,0,0,3.0,0.0,1110.1906032967747,53.05944720467265,1053.0658872888907,2236.523426582201,117.49951842981295,20.326344016056993,27.49104202457727,1123.1414474631122,2264.0144686067783,2236.523426582201,212.8440839301095
01/01/2026 (07:00:00 - 07:59:59),Freya Wright,440705932682.0,,0,1.0,1.0,0.0,0.0,148.4806443526845,148.4806443526845,0,0,0,0.0,0,0.0,0,0,1.0,1.0,0,0,0,0,1.0,0.0,663.5740324378103,70.36799176450012,586.3435770699729,180.07822893399444,24.735120977972624,6.862463603337314,4.946913934741239,3173.116272359095,185.02514286873568,180.07822893399444,241.85858477216948
01/01/2026 (08:00:00 - 08:59:59),Liam Turner,440710619180.0,,0,3.0,4.0,1.0,1.0,438.7365049832413,146.24550166108043,0,0,0,1.0,0,0.0,0,0,4.0,5.0,0,0,0,0,2.0,1.0,406.64425563537753,83.69040401114407,314.8298768607066,517.8567131694117,54.74828389558975,32.49589905410753,11.573558404192347,2865.6978063871315,529.430271573604,517.8567131694117,204.87192203926446
01/01/2026 (08:00:00 - 08:59:59),Nina Ward,440795892684.0,,0,6.0,6.0,1.0,1.0,1556.211217252567,259.36853620876116,0,0,0,0.0,0,0.0,0,0,7.0,7.0,0,0,0,0,3.0,0.0,1033.5637880801553,55.26558053813304,972.2278106587573,1664.6828113982376,72.04921284608145,42.492778182854174,29.17050548113408,1706.5255507853576,1693.8533168793717,1664.6828113982376,199.62113233527063
01/01/2026 (08:00:00 - 08:59:59),Ruby Bennett,440776845445.0,,0,3.0,3.0,1.0,1.0,370.46118303656823,123.48706101218941,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,3.0,0.0,448.3070286980252,81.39733885604332,357.5708561062702,473.6690526154715,75.19136837176832,37.35533494284666,11.000632827306088,2998.6692099702054,484.6696854427776,473.6690526154715,116.66110458701675
01/01/2026 (08:00:00 - 08:59:59),Theo Bennett,440797064732.0,,0,5.0,5.0,1.0,1.0,740.2161308748662,148.04322617497323,0,0,0,0.0,0,0.0,0,0,6.0,6.0,0,0,0,0,3.0,0.0,478.0486122553688,148.56470763794024,325.34051748223897,946.2016901723962,185.26862362158204,24.86032281113757,21.082121096047235,2520.592866912015,967.2838112684434,946.2016901723962,112.12332181954184
01/01/2026 (08:00:00 - 08:59:59),Nina Reed,440712872381.0,,0,5.0,6.0,0.0,0.0,1312.0434326989632,262.40868653979265,0,0,0,1.0,0,0.0,0,0,5.0,6.0,0,0,0,0,1.0,1.0,852.8755019633635,36.436612766203446,805.4013883334825,1456.173127710314,88.94219069296328,55.1875043183876,26.31104027345415,1937.1724409986791,1482.4841679837682,1456.173127710314,180.34339101755268
01/01/2026 (08:00:00 - 08:59:59),Ella Scott,440738213751.0,,0,9.0,9.0,0.0,0.0,2369.760126252645,263.30668069473836,0,0,0,0.0,0,0.0,0,0,9.0,9.0,0,0,0,0,2.0,0.0,841.2607567934983,79.39107461176987,756.3505333632268,2579.4563817346298,160.0239161154692,49.67233936651527,53.060479636853565,684.2847997308597,2632.516861371483,2579.4563817346298,283.1983388976571
01/01/2026 (08:00:00 - 08:59:59),Freya Wright,440705932682.0,,0,4.0,4.0,0.0,0.0,820.5607553880751,205.14018884701878,0,0,0,0.0,0,0.0,0,0,4.0,4.0,0,0,0,0,2.0,0.0,755.1524624523046,24.843244857838176,724.2041790978687,868.7007126288453,23.719803254379627,24.42015398639059,23.628290813051514,2418.50964681227,892.3290034418968,868.7007126288453,289.16134974583315
01/01/2026 (09:00:00 - 09:59:59),Liam Turner,440710619180.0,,0,6.0,7.0,0.0,0.0,1846.2435829427454,307.7072638237909,0,0,0,1.0,0,0.0,0,0,6.0,7.0,0,0,0,0,3.0,0.0,1079.9375039257266,35.6030700116571,1037.9858159028392,1962.6515108846934,78.3162198745668,38.09170806738092,30.552082075776177,1331.3230026073063,1993.2035929604695,1962.6515108846934,275.4734044322242
01/01/2026 (09:00:00 - 09:59:59),Nina Ward,440795892684.0,,0,2.0,2.0,1.0,1.0,682.3529792998822,341.1764896499411,0,0,0,0.0,0,0.0,0,0,3.0,3.0,0,0,0,0,1.0,0.0,1079.0728868566116,55.65957448501528,1013.5489857540786,746.8427358453574,44.76110331043976,29.592979852553064,10.041086338264181,2664.804360573183,756.8838221836216,746.8427358453574,178.31181724319498
01/01/2026 (09:00:00 - 09:59:59),Ruby Bennett,440776845445.0,,0,5.0,5.0,0.0,0.0,663.1946770730963,132.63893541461925,0,0,0,0.0,0,0.0,0,0,5.0,5.0,0,0,0,0,2.0,0.0,394.62202534993185,41.89512741906929,347.1568418597887,736.8689190538059,45.823961625340374,27.850280355369232,27.67532663056609,2628.0140074662186,764.5442456843721,736.8689190538059,207.44174684940933
01/01/2026 (09:00:00 - 09:59:59),Theo Bennett,440797064732.0,,0,5.0,5.0,2.0,2.0,1299.0919899262335,259.8183979852467,0,0,0,0.0,0,0.0,0,0,7.0,7.0,0,0,0,0,4.0,0.0,844.7352012954959,183.20864646911883,654.9171684302171,1591.1146567384349,258.975734831401,46.26570477312069,28.967569169088442,1888.0025302652205,1620.0822259075233,1591.1146567384349,91.91524382725635
